姓名 名次 语文 数学 英语 物理 化学 生物 政治 历史 地理 平均分 总分
小沈 1 94 95 72 86 78 78 43 95 96 81.89 737
小郑 2 84 93 59 94 86 71 69 81 71 78.67 708
小朱 3 97 91 88 86 86 54 61 56 82 77.89 701
小施 4 88 74 38 48 78 87 96 88 90 76.33 687
小何 5 86 40 86 57 76 92 79 95 52 73.67 663
小张 6 43 87 44 88 95 78 91 42 94 73.56 662
小赵 7 73 85 80 82 93 41 64 87 55 73.33 660
小金 8 78 84 77 42 79 82 50 74 94 73.33 660
小华 9 53 85 85 72 62 87 94 73 34 71.67 645
小陈 10 98 90 64 71 90 65 40 33 89 71.11 640
小魏 11 75 57 38 85 58 60 97 99 69 70.89 638
小卫 12 70 67 33 96 94 69 62 72 72 70.56 635
小孙 13 95 64 87 79 34 70 45 72 87 70.33 633
小吴 14 55 83 80 94 90 86 44 33 64 69.89 629
小吕 15 51 33 81 48 95 80 51 81 99 68.78 619
小钱 16 33 91 81 92 72 50 50 65 83 68.56 617
小杨 17 86 93 87 46 75 44 45 60 81 68.56 617
小秦 18 47 51 64 78 89 91 37 94 61 68.0 612
小孔 19 37 86 88 83 80 90 31 78 37 67.78 610
小曹 20 63 53 55 94 45 55 73 91 78 67.44 607
小楮 21 90 47 70 34 88 73 69 74 60 67.22 605
小严 22 36 71 77 60 91 79 90 37 61 66.89 602
小许 23 50 72 99 31 38 92 62 92 65 66.78 601
小蒋 24 82 43 63 70 60 67 54 69 92 66.67 600
小李 25 87 34 81 58 73 41 46 74 97 65.67 591
小冯 26 36 74 83 69 57 78 73 59 58 65.22 587
小韩 27 83 70 36 74 50 56 38 93 78 64.22 578
小尤 28 74 67 63 53 34 89 56 66 76 64.22 578
小王 29 75 83 31 53 72 34 33 64 80 58.33 525
小周 30 54 58 66 65 42 43 70 33 89 57.78 520
平均   69.1 70.7 68.53 69.6 72.0 69.4 60.43 71.0 74.8
